,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
1,,Yahoo Entertainment,Sarah Fielding,"Apple will allow developers access to its NFC technology, avoiding an EU fine","After four years of back and forth, the European Union and Apple have finally come to an agreement on the latter's tap-and-go technology. The European Commission announced Apple made ""legally binding"" commitments to provide developers with their Near-Field Co…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5603150f-78f3-420d-a532-a7c962417caa,,2024-07-11T12:30:26Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
2,,Yahoo Entertainment,Amy Skorheim,"Amazon Prime Day Apple deals on AirPods, MacBooks, iPads and more that are still available today","Prime Day might be over, but there are a (somewhat surprising) number of Apple deals still live right now. Apple itself doesn’t typically host sales, but we often see deals from Amazon on current-generation Apple devices — most of which will get even better t…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_78c45b7d-d46d-42e1-ba45-479f78d3fd3c,,2024-07-18T13:04:05Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
7,,Yahoo Entertainment,Mariella Moon,"Apple Vision Pro goes on sale in the UK, Canada and Australia","The Apple Vision Pro is now available for purchase in Australia, Canada, France, Germany and the United Kingdom. Apple first expanded its availability in Asia by releasing it in mainland China, Hong Kong, Japan and Singapore back on June 28, which is also whe…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3f6a97a8-049b-4bd9-9833-29167f004f06,,2024-07-12T12:30:52Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
9,,Yahoo Entertainment,Mariella Moon,Apple says Vision Pro will allow alternate payment methods in the EU,"The European Commission designated Apple as a gatekeeper under the Digital Markets Act for its iOS and iPadOS platforms, as well as its App Store and its Safari browser. VisionOS is nowhere in that list, but Apple is getting ahead of the commission this time …",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_51fcf7ff-ebb2-4832-b333-6dab0a66f747,,2024-07-02T14:30:38Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
11,,Yahoo Entertainment,Will Shanklin,The tinyPod transforms your old Apple Watch into an iPod-like minimalist phone,"The tinyPod is a case for your Apple Watch, which probably doesn’t sound too exciting on its own. However, its unique angle — a click wheel that controls the watch’s Digital Crown — makes Apple’s wearable look and feel (at least in its marketing) like the com…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d64f2bed-9b69-452a-8ec4-6b6918811ff9,,2024-07-17T20:17:14Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
12,,Yahoo Entertainment,Cherlynn Low,Samsung Galaxy Watch Ultra hands-on: Didn't fall far from the Apple tree,"Have you heard the song that goes “anything you can do I can do better, I can do anything better than you?” Well, it seems like the folks at Samsung have been listening to that on repeat. At its Galaxy Unpacked event today, the company unveiled a slew of prod…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3c60a2a5-3a2e-4b8c-a6fd-db9699a34e16,,2024-07-10T13:00:30Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
14,,Yahoo Entertainment,Mat Smith,"The Morning After: AI models from Apple, NVIDIA and more were reportedly trained on YouTube videos","Some of the world’s largest tech companies trained their AI models on datasets that included transcripts of more than 173,000 YouTube videos without permission. That’s according to an investigation from Proof News, which laid out how Apple, NVIDIA and Anthrop…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b3aab536-debb-4884-979a-1b3ccaf3e4b1,,2024-07-17T11:15:42Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
15,,Yahoo Entertainment,Sarah Fielding,The best Apple AirTag Prime Day deal we've seen discounts a four-pack to $75,"Prime Day deals have come for many of Apple's devices, including its smallest accessories. You can pick up a four-pack if AirTags for $75 right now, down from their usual $100 price tag. If you just want one of the Bluetooth trackers, you can pick up a single…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a293f518-7696-4d71-8b04-5b556602a20b,,2024-07-16T14:59:49Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
16,,Yahoo Entertainment,Pranav Dixit,"Apple, NVIDIA and Anthropic reportedly used YouTube transcripts without permission to train AI models","Some of the world’s largest tech companies trained their AI models on a dataset that included transcripts of more than 173,000 YouTube videos without permission, a new investigation from Proof News has found. The dataset, which was created by a nonprofit comp…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3a690a29-7154-43f9-872d-1709c077e23a,,2024-07-16T17:08:27Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
17,,Yahoo Entertainment,Engadget,"Amazon Prime Day 2024: The best deals from Apple, Anker and more","Amazon Prime Day 2024 will arrive next week, bringing a deluge of discounts and deals on everything from household essentials to clothing to tech. Even though the shopping event is limited to 48 hours, Amazon typically has early Prime Day deals rolling out fo…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a5fdbfcf-5245-4842-9e1a-975fecd43ea0,,2024-07-08T16:00:35Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
